system_id,formula_id,state_id,sign,time_hartree_inverse,auxiliary_fit_a4,auxiliary_fit_a6,scaled_design_condition_number,fhat_approx_hartree,g_approx_hartree,g_exact_hartree,delta_direct_hartree,E_fit_signed_hartree,E_state_signed_hartree,E_proxy_signed_hartree,E_total_signed_hartree,closure_residual_hartree,closure_over_target_error
two_level_commuting,current_m3,real_q001,1,0.05,-3.623464275768748e-14,1.6199139233329616e-13,17.3589273424777,-2.2393540173033904e-19,-5.77008978566287e-16,-5.887846720064157e-16,0.0,5.767850431645566e-16,1.1775693440128684e-17,-5.887846720064157e-16,-2.2393540173033904e-19,-4.8148248609680896e-32,3.021350748506098e-28
two_level_commuting,current_m3,real_q001,1,0.08,-3.623464275768748e-14,1.6199139233329616e-13,17.3589273424777,-1.4417058958030596e-18,-1.4461992685994835e-16,-1.226634733346703e-16,1.1102230246251565e-15,1.431782209641453e-16,-2.1956453525278045e-17,-1.2328864979598269e-15,-1.1116647305209595e-15,0.0,0.0
two_level_commuting,current_m3,real_q001,1,0.12,-3.623464275768748e-14,1.6199139233329616e-13,17.3589273424777,-7.02991181658913e-18,-6.509259464525828e-17,-2.0543252740130517e-31,2.220446049250313e-16,5.806268282866914e-17,-6.509259464525807e-17,-2.220446049250315e-16,-2.2907451674162045e-16,0.0,0.0
two_level_commuting,current_m3,real_q001,1,0.18,-3.623464275768748e-14,1.6199139233329616e-13,17.3589273424777,-3.252799105919805e-17,-2.5710209219546374e-16,-2.1806839703941326e-16,-2.220446049250313e-16,2.245741011362657e-16,-3.903369515605048e-17,3.976207885618048e-18,1.8951661386583327e-16,0.0,0.0
two_level_commuting,current_m3,real_q001,1,0.27,-3.623464275768748e-14,1.6199139233329616e-13,17.3589273424777,-1.298069633863255e-16,-5.78600841291185e-17,-9.130334551169117e-32,-2.220446049250313e-16,-7.194687925720699e-17,-5.786008412911842e-17,2.220446049250312e-16,9.223764153870581e-17,0.0,0.0
two_level_commuting,current_m3,real_q001,1,0.4,-3.623464275768748e-14,1.6199139233329616e-13,17.3589273424777,-2.640901115996183e-16,-2.6897671088956604e-16,-2.9439233600320783e-16,0.0,4.8865992899477166e-18,2.54156251136418e-17,-2.9439233600320783e-16,-2.640901115996183e-16,0.0,0.0
two_level_commuting,m5_best,complex_q001,-1,-0.05,2.412814105627909e-15,-4.209893405124268e-15,17.3589273424777,1.501430857571937e-20,9.71445146547012e-16,-2.9439233600320774e-16,-4.440892098500626e-16,-9.714301322384363e-16,1.2658374825502198e-15,1.4969687384685488e-16,4.441042241586383e-16,9.860761315262648e-32,6.1877263329404885e-28
two_level_commuting,m5_best,complex_q001,-1,-0.08,2.412814105627909e-15,-4.209893405124268e-15,17.3589273424777,9.772526746972627e-20,7.806255641895632e-16,2.4532694666933996e-16,6.661338147750939e-16,-7.805278389220934e-16,5.352986175202232e-16,-4.2080686810575396e-16,-6.660360895076242e-16,0.0,0.0
two_level_commuting,m5_best,complex_q001,-1,-0.12,2.412814105627909e-15,-4.209893405124268e-15,17.3589273424777,4.877504585935966e-19,-4.04768811061255e-16,-3.2710259555911977e-16,0.0,4.052565615198486e-16,-7.766621550213524e-17,-3.2710259555911977e-16,4.877504585935966e-19,-1.3288916616271927e-32,8.338928065876831e-29
two_level_commuting,m5_best,complex_q001,-1,-0.18,2.412814105627909e-15,-4.209893405124268e-15,17.3589273424777,2.389687898012744e-18,-2.312964634635743e-16,-3.2710259555911987e-16,-2.220446049250313e-16,2.3368615136158705e-16,9.580613209554557e-17,-1.0505799063408856e-16,2.2443429282304406e-16,0.0,0.0
two_level_commuting,m5_best,complex_q001,-1,-0.27,2.412814105627909e-15,-4.209893405124268e-15,17.3589273424777,1.11916844494389e-17,1.5419764230904951e-16,1.4537893135960887e-16,0.0,-1.4300595785961062e-16,8.818710949440641e-18,1.4537893135960887e-16,1.11916844494389e-17,-4.622231866529366e-33,2.900496718565854e-29
two_level_commuting,m5_best,complex_q001,-1,-0.4,2.412814105627909e-15,-4.209893405124268e-15,17.3589273424777,4.452431771668548e-17,-2.0816681711721685e-16,-9.813077866773593e-17,0.0,2.5269113483390234e-16,-1.1003603844948092e-16,-9.813077866773593e-17,4.452431771668548e-17,2.465190328815662e-32,1.5469315832351221e-28
two_level_commuting,m5_best,complex_q001,1,0.05,2.412814105627909e-15,-4.209893405124268e-15,17.3589273424777,1.501430857571937e-20,-1.6653345369377348e-15,-2.943923360032075e-16,-4.440892098500626e-16,1.6653495512463105e-15,-1.3709422009345274e-15,1.4969687384685513e-16,4.441042241586383e-16,0.0,0.0
two_level_commuting,m5_best,complex_q001,1,0.08,2.412814105627909e-15,-4.209893405124268e-15,17.3589273424777,9.772526746972627e-20,-3.469446951953614e-16,2.4532694666933966e-16,6.661338147750939e-16,3.4704242046283113e-16,-5.922716418647011e-16,-4.2080686810575426e-16,-6.660360895076242e-16,0.0,0.0
