system,formula,window_size,order_tolerance,minimum_r2,qualified,eligible_window_count,selected_start_index,selected_t_start,selected_t_stop,selected_free_order,selected_fixed_order_alpha,selected_analytic_time
H4,two_term_center,5,0.2,0.999,True,30,0,0.02,0.034507053373351075,4.002224154026729,2.1874846395524276e-05,1.098667007688895
H4,two_term_center,5,0.3,0.995,True,30,0,0.02,0.034507053373351075,4.002224154026729,2.1874846395524276e-05,1.098667007688895
H4,two_term_center,5,0.3,0.999,True,30,0,0.02,0.034507053373351075,4.002224154026729,2.1874846395524276e-05,1.098667007688895
H4,two_term_center,6,0.1,0.995,True,29,0,0.02,0.039548256806109475,4.001819930328599,2.1876756915506613e-05,1.0986430199695882
H4,two_term_center,6,0.1,0.999,True,29,0,0.02,0.039548256806109475,4.001819930328599,2.1876756915506613e-05,1.0986430199695882
H4,two_term_center,6,0.2,0.995,True,29,0,0.02,0.039548256806109475,4.001819930328599,2.1876756915506613e-05,1.0986430199695882
H4,two_term_center,6,0.2,0.999,True,29,0,0.02,0.039548256806109475,4.001819930328599,2.1876756915506613e-05,1.0986430199695882
H4,two_term_center,6,0.3,0.995,True,29,0,0.02,0.039548256806109475,4.001819930328599,2.1876756915506613e-05,1.0986430199695882
H4,two_term_center,6,0.3,0.999,True,29,0,0.02,0.039548256806109475,4.001819930328599,2.1876756915506613e-05,1.0986430199695882
H4,morales_y8m10b,4,0.1,0.995,True,1,24,0.5275908746355139,0.7942471867296331,7.906297896103601,9.234633493009833e-11,4.5744580258621115
H4,morales_y8m10b,4,0.1,0.999,True,1,24,0.5275908746355139,0.7942471867296331,7.906297896103601,9.234633493009833e-11,4.5744580258621115
H4,morales_y8m10b,4,0.2,0.995,True,4,24,0.5275908746355139,0.7942471867296331,7.906297896103601,9.234633493009833e-11,4.5744580258621115
H4,morales_y8m10b,4,0.2,0.999,True,4,24,0.5275908746355139,0.7942471867296331,7.906297896103601,9.234633493009833e-11,4.5744580258621115
H4,morales_y8m10b,4,0.3,0.995,True,6,24,0.5275908746355139,0.7942471867296331,7.906297896103601,9.234633493009833e-11,4.5744580258621115
H4,morales_y8m10b,4,0.3,0.999,True,6,24,0.5275908746355139,0.7942471867296331,7.906297896103601,9.234633493009833e-11,4.5744580258621115
H4,morales_y8m10b,5,0.1,0.995,False,0,,,,,,
H4,morales_y8m10b,5,0.1,0.999,False,0,,,,,,
